From	To	Species	Gene Name
724908	GB51047	Apis mellifera	Krueppel-like factor 11(LOC724908)
411780	GB49050	Apis mellifera	zinc finger protein 578-like(LOC411780)
550749	GB48881	Apis mellifera	C-1-tetrahydrofolate synthase, cytoplasmic(LOC550749)
410459	GB40098	Apis mellifera	cyclin-H(LOC410459)
409448	GB52194	Apis mellifera	collagen alpha-2(IX) chain-like(LOC409448)
411789	GB14569	Apis mellifera	protein krasavietz(LOC411789)
409447	GB54657	Apis mellifera	DNA repair and recombination protein RAD54-like(LOC409447)
411786	GB50978	Apis mellifera	general transcription factor IIE subunit 1(LOC411786)
410454	GB40086	Apis mellifera	putative sodium-dependent multivitamin transporter(LOC410454)
411785	GB51067	Apis mellifera	akirin-2(LOC411785)
727173	GB55986	Apis mellifera	pancreatic triacylglycerol lipase(LOC727173)
727174	GB41632	Apis mellifera	nucleolar protein 11(LOC727174)
410456	GB40126	Apis mellifera	uncharacterized LOC410456(LOC410456)
409440	GB49486	Apis mellifera	UPF0668 protein C10orf76 homolog(LOC409440)
409444	GB44606	Apis mellifera	AMP deaminase 2(LOC409444)
409443	GB46915	Apis mellifera	serine/threonine-protein phosphatase 2A activator(LOC409443)
409442	GB42918	Apis mellifera	protein NipSnap(LOC409442)
409441	GB42917	Apis mellifera	transmembrane protein 53(LOC409441)
550732	GB49853	Apis mellifera	trichohyalin(LOC550732)
100037419	GB53114	Apis mellifera	apidermin 3(Apd-3)
410462	GB40112	Apis mellifera	uncharacterized LOC410462(LOC410462)
411793	GB51197	Apis mellifera	protein TSSC1(LOC411793)
410464	GB53867	Apis mellifera	protein escargot(LOC410464)
411795	GB54033	Apis mellifera	Golgi to ER traffic protein 4 homolog(LOC411795)
727170	GB46976	Apis mellifera	protein bfr2(LOC727170)
550734	GB43742	Apis mellifera	thioredoxin-like protein 1(LOC550734)
410463	GB40107	Apis mellifera	ATPase WRNIP1-like(LOC410463)
411794	GB40720	Apis mellifera	CCR4-NOT transcription complex subunit 3(LOC411794)
550735	GB49946	Apis mellifera	uncharacterized LOC550735(LOC550735)
550738	GB55625	Apis mellifera	NEDD4 family-interacting protein 1-like(LOC550738)
411790	GB49041	Apis mellifera	solute carrier family 25 member 38-like(LOC411790)
550739	GB55660	Apis mellifera	serine/threonine-protein kinase PLK4(LOC550739)
410469	GB47802	Apis mellifera	signal recognition particle receptor subunit beta(LOC410469)
409435	GB43906	Apis mellifera	phosphatidylinositol-binding clathrin assembly protein LAP(LOC409435)
411797	GB46204	Apis mellifera	protein cereblon(LOC411797)
410465	GB47791	Apis mellifera	UNC93-like protein(LOC410465)
411796	GB54056	Apis mellifera	serine hydroxymethyltransferase(LOC411796)
410468	GB47799	Apis mellifera	protein hairy(LOC410468)
411799	GB53199	Apis mellifera	N-acetylgalactosaminyltransferase 7(LOC411799)
409439	GB52557	Apis mellifera	protein transport protein Sec24C(LOC409439)
410467	GB47779	Apis mellifera	uncharacterized LOC410467(LOC410467)
409438	GB47658	Apis mellifera	tumor susceptibility gene 101 protein(LOC409438)
724932	GB40483	Apis mellifera	xyloside xylosyltransferase 1(LOC724932)
409433	GB55984	Apis mellifera	protein RCC2 homolog(LOC409433)
724931	GB51413	Apis mellifera	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8(LOC724931)
724930	GB45352	Apis mellifera	caspase-8(LOC724930)
409430	GB55444	Apis mellifera	serine/threonine-protein phosphatase alpha-2 isoform(LOC409430)
724925	GB46784	Apis mellifera	delta(14)-sterol reductase(LOC724925)
724924	GB40929	Apis mellifera	protein FAM117B-like(LOC724924)
724923	GB52991	Apis mellifera	SAC3 domain-containing protein 1(LOC724923)
724922	GB44052	Apis mellifera	uncharacterized LOC724922(LOC724922)
724929	GB53582	Apis mellifera	serine/threonine-protein kinase tricorner(LOC724929)
724928	GB15119	Apis mellifera	tubulin-specific chaperone C(LOC724928)
724927	GB41345	Apis mellifera	importin-5(LOC724927)
724926	GB44543	Apis mellifera	DNA polymerase alpha subunit B(LOC724926)
550726	GB54251	Apis mellifera	DCN1-like protein 1(LOC550726)
410475	GB48482	Apis mellifera	tRNA pseudouridine(38/39) synthase(LOC410475)
550724	GB51591	Apis mellifera	3-hydroxy-3-methylglutaryl-coenzyme A reductase(LOC550724)
410470	GB49852	Apis mellifera	putative polypeptide N-acetylgalactosaminyltransferase 9(LOC410470)
727199	GB17883	Apis mellifera	probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12(LOC727199)
409425	GB52158	Apis mellifera	hemocyte protein-glutamine gamma-glutamyltransferase-like(LOC409425)
409424	GB54376	Apis mellifera	solute carrier family 2, facilitated glucose transporter member 1-like(LOC409424)
409423	GB54377	Apis mellifera	male-specific lethal 1 homolog(LOC409423)
409429	GB43556	Apis mellifera	meiosis arrest female protein 1(LOC409429)
410478	GB53055	Apis mellifera	nicotinic acetylcholine receptor beta1 subunit(nAChRb1)
727197	GB48823	Apis mellifera	cuticular protein 2(CPR2)
409427	GB48429	Apis mellifera	peptidyl-prolyl cis-trans isomerase E-like(LOC409427)
724921	GB53655	Apis mellifera	uncharacterized LOC724921(LOC724921)
724920	GB49102	Apis mellifera	anaphase-promoting complex subunit 15-like(LOC724920)
409420	GB53381	Apis mellifera	cytochrome c oxidase assembly protein COX11, mitochondrial(LOC409420)
724914	GB47783	Apis mellifera	protein hairy-like(LOC724914)
724913	GB15924	Apis mellifera	YY1-associated factor 2(LOC724913)
724912	GB53616	Apis mellifera	anoctamin-1-like(LOC724912)
724911	GB40197	Apis mellifera	odorant receptor 13a-like(LOC724911)
550710	GB45368	Apis mellifera	serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform(LOC550710)
724917	GB50290	Apis mellifera	uncharacterized LOC724917(LOC724917)
550711	GB40576	Apis mellifera	60S acidic ribosomal protein P0(LOC550711)
724916	GB50545	Apis mellifera	uncharacterized LOC724916(LOC724916)
724915	GB42272	Apis mellifera	Usher syndrome type-1G protein homolog(LOC724915)
410484	GB43575	Apis mellifera	trehalase-like(LOC410484)
410483	GB43619	Apis mellifera	B9 domain-containing protein 1-like(LOC410483)
550715	GB46985	Apis mellifera	60S ribosomal protein L12(LOC550715)
410486	GB43548	Apis mellifera	40S ribosomal protein SA(LOC410486)
727192	GB48821	Apis mellifera	structural maintenance of chromosomes protein 6(LOC727192)
410485	GB43636	Apis mellifera	transmembrane and TPR repeat-containing protein CG4050-like(LOC410485)
724919	GB55610	Apis mellifera	mitochondrial amidoxime reducing component 2-like(LOC724919)
727193	GB43508	Apis mellifera	lipase member H-A-like(LOC727193)
410480	GB43602	Apis mellifera	trichohyalin(LOC410480)
410482	GB43617	Apis mellifera	adenylosuccinate lyase(LOC410482)
550716	GB50357	Apis mellifera	clathrin heavy chain(LOC550716)
411735	GB44881	Apis mellifera	nuclear pore complex protein Nup133(LOC411735)
410403	GB54748	Apis mellifera	proteasome activator complex subunit 3(LOC410403)
411734	GB45284	Apis mellifera	valine--tRNA ligase(LOC411734)
410406	GB54767	Apis mellifera	zinc metalloproteinase nas-13(LOC410406)
727145	GB53113	Apis mellifera	apidermin-like(LOC727145)
410405	GB54765	Apis mellifera	cytochrome P450 18a1(LOC410405)
727146	GB48199	Apis mellifera	sphingomyelin phosphodiesterase(LOC727146)
411731	GB43917	Apis mellifera	endoplasmic reticulum metallopeptidase 1-like(LOC411731)
411730	GB49489	Apis mellifera	mannosyl-oligosaccharide glucosidase GCS1(LOC411730)
727140	GB49654	Apis mellifera	zinc finger protein 830(LOC727140)
410402	GB54762	Apis mellifera	serine proteinase stubble(LOC410402)
727141	GB53882	Apis mellifera	IST1 homolog(LOC727141)
411732	GB43818	Apis mellifera	trimeric intracellular cation channel type B(LOC411732)
727142	GB52888	Apis mellifera	uncharacterized protein C9orf85 homolog(LOC727142)
409495	GB49607	Apis mellifera	lysosome-associated membrane glycoprotein 1(LOC409495)
409494	GB45303	Apis mellifera	methylglutaconyl-CoA hydratase, mitochondrial(LOC409494)
409493	GB41179	Apis mellifera	zinc finger protein 569-like(LOC409493)
409492	GB42110	Apis mellifera	slowpoke-binding protein(LOC409492)
410408	GB54778	Apis mellifera	conserved ATPase domain protein(LOC410408)
411739	GB45667	Apis mellifera	stromal interaction molecule homolog(LOC411739)
409499	GB51079	Apis mellifera	UDP-glucose 4-epimerase-like(LOC409499)
411738	GB45694	Apis mellifera	lutropin-choriogonadotropic hormone receptor(LOC411738)
550791	GB51068	Apis mellifera	arrestin homolog(LOC550791)
409498	GB46877	Apis mellifera	kinase suppressor of Ras 2(LOC409498)
409497	GB48349	Apis mellifera	zinc finger CCCH domain-containing protein 18-like(LOC409497)
409491	GB45256	Apis mellifera	transmembrane protein 183B(LOC409491)
409490	GB50265	Apis mellifera	glutathione S-transferase D1(GstD1)
550785	GB40735	Apis mellifera	fructose-bisphosphate aldolase(LOC550785)
550789	GB54855	Apis mellifera	selenocysteine Se-methyltransferase-like(LOC550789)
410415	GB48225	Apis mellifera	ras-related protein M-Ras-like(LOC410415)
411746	GB47073	Apis mellifera	uncharacterized LOC411746(LOC411746)
410414	GB48261	Apis mellifera	116 kDa U5 small nuclear ribonucleoprotein component(LOC410414)
410417	GB48234	Apis mellifera	receptor-type tyrosine-protein phosphatase kappa-like(LOC410417)
411748	GB42548	Apis mellifera	protein kinase C-binding protein NELL1-like(LOC411748)
727134	GB42321	Apis mellifera	ecdysoneless(ecd)
410416	GB48231	Apis mellifera	1-phosphatidylinositol 3-phosphate 5-kinase-like(LOC410416)
727135	GB41719	Apis mellifera	uncharacterized LOC727135(LOC727135)
409489	GB55891	Apis mellifera	diphosphoinositol polyphosphate phosphohydrolase 1(LOC409489)
411742	GB54659	Apis mellifera	transcription initiation factor TFIID subunit 8-like(LOC411742)
410410	GB54729	Apis mellifera	ATP-dependent DNA helicase PIF1(LOC410410)
410413	GB48263	Apis mellifera	uncharacterized LOC410413(LOC410413)
411744	GB53340	Apis mellifera	spectrin beta chain(LOC411744)
727130	GB55098	Apis mellifera	progestin and adipoQ receptor family member 4(LOC727130)
727131	GB53112	Apis mellifera	spidroin-2-like(LOC727131)
409483	GB49315	Apis mellifera	protein lin-54 homolog(LOC409483)
409481	GB46481	Apis mellifera	ADP-ribosylation factor 1(LOC409481)
409488	GB44080	Apis mellifera	protein-L-isoaspartate(D-aspartate) O-methyltransferase-like(LOC409488)
550780	GB47178	Apis mellifera	N-terminal Xaa-Pro-Lys N-methyltransferase 1(LOC550780)
409487	GB51264	Apis mellifera	probable glutamine-dependent NAD(+) synthetase(LOC409487)
409486	GB47322	Apis mellifera	RNA-binding protein 4.1-like(LOC409486)
409485	GB46217	Apis mellifera	cytoplasmic aconitate hydratase-like(LOC409485)
410420	GB48255	Apis mellifera	isochorismatase domain-containing protein 2-like(LOC410420)
411750	GB47963	Apis mellifera	probable E3 ubiquitin-protein ligase HERC4(LOC411750)
411757	GB44434	Apis mellifera	probable glucosamine 6-phosphate N-acetyltransferase(LOC411757)
727165	GB53116	Apis mellifera	flocculation protein FLO11-like(LOC727165)
411756	GB44433	Apis mellifera	bromodomain adjacent to zinc finger domain protein 1A(LOC411756)
727166	GB48194	Apis mellifera	acyl-CoA Delta(11) desaturase-like(LOC727166)
410428	GB50669	Apis mellifera	uncharacterized LOC410428(LOC410428)
411759	GB44009	Apis mellifera	biotin--protein ligase(LOC411759)
409479	GB47747	Apis mellifera	60S ribosomal protein L6(LOC409479)
410427	GB50672	Apis mellifera	serine/threonine-protein kinase 26(LOC410427)
411758	GB44682	Apis mellifera	N-terminal kinase-like protein(LOC411758)
727168	GB51432	Apis mellifera	1,4-alpha-glucan-branching enzyme(LOC727168)
410422	GB48252	Apis mellifera	dihydrofolate reductase(LOC410422)
411753	GB54989	Apis mellifera	TBC1 domain family member 25(LOC411753)
727161	GB53119	Apis mellifera	apidermin 2(Apd-2)
410424	GB48251	Apis mellifera	pyruvate dehydrogenase (acetyl-transferring) kinase, mitochondrial(LOC410424)
410423	GB48247	Apis mellifera	uncharacterized LOC410423(LOC410423)
411754	GB54291	Apis mellifera	YTH domain-containing protein 1(LOC411754)
727164	GB41717	Apis mellifera	eukaryotic translation initiation factor 3 subunit F-like(LOC727164)
409473	GB41139	Apis mellifera	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8(LOC409473)
409472	GB48452	Apis mellifera	protein Smaug homolog 1(LOC409472)
409470	GB54040	Apis mellifera	zinc finger protein 271-like(LOC409470)
410429	GB50680	Apis mellifera	mannose-P-dolichol utilization defect 1 protein homolog(LOC410429)
409476	GB44934	Apis mellifera	nuclear cap-binding protein subunit 1(LOC409476)
409475	GB45225	Apis mellifera	26S proteasome non-ATPase regulatory subunit 2(LOC409475)
409474	GB46618	Apis mellifera	laminin subunit gamma-1(LOC409474)
411760	GB44216	Apis mellifera	metabotropic glutamate receptor 7(LOC411760)
550767	GB50603	Apis mellifera	ribose 5-phosphate isomerase A(LOC550767)
409469	GB51356	Apis mellifera	cytochrome P450 4G11(Cyp4g11)
410439	GB40061	Apis mellifera	basement membrane-specific heparan sulfate proteoglycan core protein-like(LOC410439)
727156	GB52283	Apis mellifera	vesicle transport protein USE1(LOC727156)
409468	GB40944	Apis mellifera	A disintegrin and metalloproteinase with thrombospondin motifs 8(LOC409468)
410438	GB40158	Apis mellifera	neuroendocrine convertase 1-like(LOC410438)
411769	GB47281	Apis mellifera	kinesin heavy chain(LOC411769)
727157	GB45553	Apis mellifera	pro-resilin(LOC727157)
409467	GB50864	Apis mellifera	sodium-coupled monocarboxylate transporter 2-like(LOC409467)
411764	GB55575	Apis mellifera	bestrophin-4-like(LOC411764)
727150	GB41714	Apis mellifera	uncharacterized LOC727150(LOC727150)
410432	GB50689	Apis mellifera	L-threonine 3-dehydrogenase, mitochondrial(LOC410432)
411763	GB10422	Apis mellifera	DNA polymerase subunit gamma-1, mitochondrial(LOC411763)
727151	GB41627	Apis mellifera	tetratricopeptide repeat protein 12-like(LOC727151)
410435	GB48005	Apis mellifera	serotonin receptor(5-HT1)
411766	GB55573	Apis mellifera	acyl-CoA synthetase family member 4(LOC411766)
410434	GB47992	Apis mellifera	splicing factor 3B subunit 4(LOC410434)
411765	GB55434	Apis mellifera	rab GDP dissociation inhibitor beta(LOC411765)
727153	GB45538	Apis mellifera	fructose-1,6-bisphosphatase 1(LOC727153)
409462	GB54958	Apis mellifera	cyclin-dependent kinase 10(LOC409462)
409460	GB48782	Apis mellifera	bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase(LOC409460)
727159	GB43039	Apis mellifera	restin homolog(LOC727159)
409465	GB47140	Apis mellifera	uncharacterized LOC409465(LOC409465)
409463	GB51422	Apis mellifera	WD repeat-containing protein 63-like(LOC409463)
411771	GB40442	Apis mellifera	cysteine sulfinic acid decarboxylase(LOC411771)
411770	GB40445	Apis mellifera	C-type lectin 5(CTL5)
410442	GB40063	Apis mellifera	DNA helicase MCM9-like(LOC410442)
410441	GB40151	Apis mellifera	secretory carrier-associated membrane protein 5B(LOC410441)
411772	GB49475	Apis mellifera	Y+L amino acid transporter 2(LOC411772)
100578300	GB45887	Apis mellifera	uncharacterized LOC100578300(LOC100578300)
724994	GB42332	Apis mellifera	uncharacterized LOC724994(LOC724994)
724993	GB53925	Apis mellifera	uncharacterized LOC724993(LOC724993)
724992	GB50375	Apis mellifera	RRP15-like protein(LOC724992)
724991	GB55323	Apis mellifera	phosphatidylinositol 4-phosphate 5-kinase type-1 alpha(LOC724991)
724998	GB43210	Apis mellifera	solute carrier family 2, facilitated glucose transporter member 10-like(LOC724998)
724997	GB47237	Apis mellifera	protein naked cuticle homolog 2-like(LOC724997)
724996	GB17791	Apis mellifera	UPF0587 protein C1orf123 homolog(LOC724996)
724995	GB43362	Apis mellifera	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like(LOC724995)
724988	GB50324	Apis mellifera	uncharacterized LOC724988(LOC724988)
100578309	GB50339	Apis mellifera	uncharacterized LOC100578309(LOC100578309)
100578307	GB48478	Apis mellifera	multiple inositol polyphosphate phosphatase 1(LOC100578307)
411704	GB47463	Apis mellifera	guanine nucleotide-binding protein G(i) subunit alpha(LOC411704)
411700	GB45495	Apis mellifera	heat shock protein 83(LOC411700)
724983	GB49611	Apis mellifera	retinal homeobox protein Rx1(LOC724983)
411706	GB42468	Apis mellifera	phospholipase B1, membrane-associated-like(LOC411706)
411705	GB47428	Apis mellifera	synaptojanin-1(LOC411705)
724986	GB55557	Apis mellifera	protein NRDE2 homolog(LOC724986)
724985	GB46536	Apis mellifera	torsin-1A(LOC724985)
411707	GB47333	Apis mellifera	probable glutamate--tRNA ligase, mitochondrial(LOC411707)
724979	GB41986	Apis mellifera	forkhead box protein A2-A-like(LOC724979)
724977	GB45441	Apis mellifera	partitioning defective protein 6(LOC724977)
100578316	GB50888	Apis mellifera	uncharacterized LOC100578316(LOC100578316)
100578314	GB53682	Apis mellifera	monocarboxylate transporter 10-like(LOC100578314)
411712	GB42472	Apis mellifera	embryonic polarity protein dorsal(LOC411712)
100578323	GB42853	Apis mellifera	probable phospholipid-transporting ATPase IF(LOC100578323)
411715	GB50626	Apis mellifera	phospholipase D3-like(LOC411715)
411714	GB45958	Apis mellifera	uncharacterized protein C05D11.1-like(LOC411714)
100578321	GB54728	Apis mellifera	host cell factor 2-like(LOC100578321)
411711	GB54263	Apis mellifera	integrator complex subunit 6(LOC411711)
411719	GB49423	Apis mellifera	probable queuine tRNA-ribosyltransferase(LOC411719)
411718	GB49420	Apis mellifera	ubiquitin-associated domain-containing protein 1(LOC411718)
100578329	GB52087	Apis mellifera	putative fatty acyl-CoA reductase CG5065(LOC100578329)
411724	GB50105	Apis mellifera	glycerol-3-phosphate acyltransferase 1, mitochondrial(LOC411724)
100577002	GB51841	Apis mellifera	multiple inositol polyphosphate phosphatase 1-like(LOC100577002)
411723	GB45517	Apis mellifera	E3 ubiquitin-protein ligase Nedd-4(LOC411723)
100577003	GB49001	Apis mellifera	uncharacterized LOC100577003(LOC100577003)
100578334	GB42177	Apis mellifera	transcription factor 21(LOC100578334)
100577000	GB46793	Apis mellifera	eukaryotic translation elongation factor 1 epsilon-1(LOC100577000)
411725	GB50129	Apis mellifera	tektin-3-like(LOC411725)
100578332	GB55260	Apis mellifera	uncharacterized LOC100578332(LOC100578332)
411720	GB49496	Apis mellifera	mitogen-activated protein kinase kinase kinase 7 interacting protein 1(LOC411720)
100578330	GB44102	Apis mellifera	uncharacterized LOC100578330(LOC100578330)
411722	GB45504	Apis mellifera	endoplasmic reticulum-Golgi intermediate compartment protein 2(LOC411722)
411721	GB45515	Apis mellifera	uncharacterized LOC411721(LOC411721)
411727	GB12155	Apis mellifera	bromodomain-containing protein 8(LOC411727)
411729	GB46300	Apis mellifera	sodium- and chloride-dependent GABA transporter ine(LOC411729)
724999	GB53609	Apis mellifera	sodium/bile acid cotransporter 7-like(LOC724999)
100578337	GB40521	Apis mellifera	uncharacterized LOC100578337(LOC100578337)
100577004	GB50911	Apis mellifera	probable G-protein coupled receptor CG31760(LOC100577004)
100578345	GB53407	Apis mellifera	uncharacterized LOC100578345(LOC100578345)
409414	GB52316	Apis mellifera	kinectin(LOC409414)
100578341	GB48407	Apis mellifera	uncharacterized LOC100578341(LOC100578341)
409418	GB40866	Apis mellifera	heat shock protein cognate 4(Hsc70-4)
409417	GB40711	Apis mellifera	RING finger protein 10(LOC409417)
724950	GB42215	Apis mellifera	integrin beta-PS-like(LOC724950)
724954	GB47266	Apis mellifera	heat shock protein 67B2-like(LOC724954)
409411	GB45543	Apis mellifera	transmembrane protein 41 homolog(LOC409411)
724953	GB49829	Apis mellifera	U6 snRNA phosphodiesterase(LOC724953)
409410	GB46268	Apis mellifera	plasminogen activator inhibitor 1 RNA-binding protein-like(LOC409410)
724952	GB46661	Apis mellifera	sodium-independent sulfate anion transporter-like(LOC724952)
724951	GB43360	Apis mellifera	1-acyl-sn-glycerol-3-phosphate acyltransferase beta-like(LOC724951)
724946	GB49876	Apis mellifera	cytochrome P450 6a2(LOC724946)
550700	GB45457	Apis mellifera	vacuolar protein sorting-associated protein 53 homolog(LOC550700)
724948	GB47719	Apis mellifera	protein KRI1 homolog(LOC724948)
550703	GB45443	Apis mellifera	dephospho-CoA kinase(LOC550703)
550701	GB46606	Apis mellifera	peptidyl-prolyl cis-trans isomerase FKBP8(LOC550701)
100577019	GB47508	Apis mellifera	protein quiver(LOC100577019)
409409	GB53414	Apis mellifera	serine/threonine-protein kinase ICK(LOC409409)
550708	GB47601	Apis mellifera	E3 ubiquitin-protein ligase MIB1(LOC550708)
100578349	GB43034	Apis mellifera	uncharacterized LOC100578349(LOC100578349)
100577015	GB48650	Apis mellifera	uncharacterized LOC100577015(LOC100577015)
100578346	GB45697	Apis mellifera	uncharacterized LOC100578346(LOC100578346)
550706	GB50345	Apis mellifera	probable phosphorylase b kinase regulatory subunit alpha(LOC550706)
100578347	GB53888	Apis mellifera	uncharacterized LOC100578347(LOC100578347)
100577024	GB40192	Apis mellifera	odorant receptor 30a-like(LOC100577024)
100578355	GB42012	Apis mellifera	zinc finger protein 484(LOC100578355)
409404	GB49161	Apis mellifera	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2-like(LOC409404)
100578356	GB52453	Apis mellifera	apoptotic protease-activating factor 1-like(LOC100578356)
409403	GB51654	Apis mellifera	ubiquitin carboxyl-terminal hydrolase 30 homolog(LOC409403)
409402	GB53286	Apis mellifera	uncharacterized LOC409402(LOC409402)
409401	GB46492	Apis mellifera	cyclic AMP-responsive element-binding protein 1(LOC409401)
409408	GB43707	Apis mellifera	nuclear valosin-containing protein-like(LOC409408)
409406	GB49159	Apis mellifera	probable nuclear transport factor 2(LOC409406)
409405	GB41669	Apis mellifera	baculoviral IAP repeat-containing protein 5(LOC409405)
724943	GB50323	Apis mellifera	phosphatidylinositol glycan anchor biosynthesis class U protein(LOC724943)
724942	GB49207	Apis mellifera	putative phosphatidate phosphatase(LOC724942)
724936	GB43761	Apis mellifera	uncharacterized LOC724936(LOC724936)
724935	GB51755	Apis mellifera	protein deltex(LOC724935)
724934	GB54796	Apis mellifera	paired mesoderm homeobox protein 2A(LOC724934)
724933	GB43908	Apis mellifera	xanthine dehydrogenase/oxidase-like(LOC724933)
724937	GB42824	Apis mellifera	zinc finger CCCH domain-containing protein 14(LOC724937)
100577026	GB42550	Apis mellifera	mitochondrial amidoxime-reducing component 1-like(LOC100577026)
100577027	GB55872	Apis mellifera	DNA repair protein XRCC1(LOC100577027)
100577033	GB51756	Apis mellifera	zinc finger protein 33B(LOC100577033)
100577031	GB52400	Apis mellifera	odorant receptor 41(Or41)
100578360	GB54992	Apis mellifera	dnaJ homolog subfamily C member 21(LOC100578360)
100577030	GB54178	Apis mellifera	pyroglutamylated RFamide peptide receptor-like(LOC100577030)
724971	GB50482	Apis mellifera	uncharacterized LOC724971(LOC724971)
724970	GB47020	Apis mellifera	feminizer(Fem)
724976	GB48563	Apis mellifera	WD repeat-containing protein 26(LOC724976)
724974	GB42015	Apis mellifera	tubulin polyglutamylase TTLL7-like(LOC724974)
724973	GB52993	Apis mellifera	focal adhesion kinase 1(LOC724973)
724969	GB53654	Apis mellifera	actin-binding protein IPP(LOC724969)
724966	GB47650	Apis mellifera	ribosomal protein L39(Rpl39)
100577047	GB55757	Apis mellifera	uncharacterized LOC100577047(LOC100577047)
100577045	GB48270	Apis mellifera	uncharacterized LOC100577045(LOC100577045)
100577043	GB49262	Apis mellifera	uncharacterized LOC100577043(LOC100577043)
100577041	GB44975	Apis mellifera	micronuclear linker histone polyprotein-like(LOC100577041)
724961	GB10395	Apis mellifera	protein drumstick(LOC724961)
100578370	GB47461	Apis mellifera	protein inturned(LOC100578370)
724965	GB49934	Apis mellifera	dnaJ homolog subfamily C member 5(LOC724965)
724962	GB49899	Apis mellifera	uncharacterized LOC724962(LOC724962)
724955	GB47295	Apis mellifera	KH domain-containing protein akap-1(LOC724955)
724959	GB52086	Apis mellifera	WASH complex subunit FAM21-like(LOC724959)
100577057	GB53514	Apis mellifera	thrombospondin-1-like(LOC100577057)
100578389	GB53886	Apis mellifera	uncharacterized LOC100578389(LOC100578389)
100578386	GB47339	Apis mellifera	jouberin-like(LOC100578386)
100577053	GB41782	Apis mellifera	glycine dehydrogenase (decarboxylating), mitochondrial(LOC100577053)
100577054	GB44024	Apis mellifera	uncharacterized LOC100577054(LOC100577054)
100578382	GB44600	Apis mellifera	interaptin-like(LOC100578382)
100578380	GB51030	Apis mellifera	tRNA (guanine-N(7)-)-methyltransferase(LOC100578380)
100577050	GB54201	Apis mellifera	GDP-fucose protein O-fucosyltransferase 2-like(LOC100577050)
100577068	GB52399	Apis mellifera	odorant receptor 4-like(LOC100577068)
100578399	GB55769	Apis mellifera	ribonuclease P protein subunit p25-like protein(LOC100578399)
100577069	GB51105	Apis mellifera	hairy/enhancer-of-split related with YRPW motif protein(LOC100577069)
100578397	GB43455	Apis mellifera	uncharacterized LOC100578397(LOC100578397)
100577065	GB54179	Apis mellifera	uncharacterized LOC100577065(LOC100577065)
100577060	GB46602	Apis mellifera	ankyrin repeat domain-containing protein 40-like(LOC100577060)
100577082	GB49004	Apis mellifera	uncharacterized LOC100577082(LOC100577082)
100577080	GB54519	Apis mellifera	uncharacterized LOC100577080(LOC100577080)
100577081	GB50057	Apis mellifera	dihydroorotate dehydrogenase (quinone), mitochondrial(LOC100577081)
