amel.gene,dmel.gene
113219301,FBgn0053995
725824,FBgn0053964
406072,FBgn0263397
725619,FBgn0034286
100576683,FBgn0053958
100579019,FBgn0053998
100576527,FBgn0265193
724203,FBgn0035524
408803,FBgn0053993
725594,FBgn0264489
726016,FBgn0054001
409521,FBgn0036306
409913,FBgn0054039
726631,FBgn0053969
412994,FBgn0250910
727186,FBgn0053977
408450,FBgn0024963
726929,FBgn0004644
408656,FBgn0039544
725671,FBgn0261930
550970,FBgn0052699
410398,FBgn0285926
727370,FBgn0030808
410535,FBgn0083981
725803,FBgn0259677
102654353,FBgn0044872
100576709,FBgn0031374
102656492,FBgn0083960
408624,FBgn0083962
413987,FBgn0031681
408427,FBgn0264953
727528,FBgn0028931
411639,FBgn0023096
100578666,FBgn0083972
552241,FBgn0064225
413046,FBgn0040011
412788,FBgn0058006
409696,FBgn0086683
724370,FBgn0262115
411177,FBgn0262117
408311,FBgn0260799
552710,FBgn0032997
100578721,FBgn0040005
724978,FBgn0026401
408285,FBgn0039994
410910,FBgn0261387
408786,FBgn0033159
408786,FBgn0033159
408786,FBgn0033159
408786,FBgn0033159
408786,FBgn0033159
408786,FBgn0033159
408786,FBgn0033159
408786,FBgn0033159
408786,FBgn0033159
408786,FBgn0033159
410526,FBgn0033365
100578551,FBgn0083983
724583,FBgn0083951
724270,FBgn0035023
725326,FBgn0083976
552140,FBgn0035987
725082,FBgn0083978
100576272,FBgn0053260
408494,FBgn0036612
408372,FBgn0262737
725111,FBgn0250816
413153,FBgn0040056
409077,FBgn0058470
551971,FBgn0058045
411114,FBgn0011288
411114,FBgn0011288
411103,FBgn0044510
413370,FBgn0083949
726200,FBgn0003129
552735,FBgn0083971
410573,FBgn0083950
409714,FBgn0259227
725613,FBgn0045035
413274,FBgn0038435
413968,FBgn0260003
413968,FBgn0260003
408546,FBgn0038890
725591,FBgn0259685
413653,FBgn0039209
726662,FBgn0083986
413319,FBgn0083946
552528,FBgn0015622
408507,FBgn0083969
410439,FBgn0053481
725259,FBgn0023213
410096,FBgn0025837
724773,FBgn0029851
413427,FBgn0029864
409082,FBgn0029903
410862,FBgn0053181
552662,FBgn0030049
410537,FBgn0002576
552146,FBgn0020378
725518,FBgn0030170
102656371,FBgn0083979
551999,FBgn0028421
552089,FBgn0085377
724292,FBgn0001624
409888,FBgn0052654
102654975,FBgn0267033
725552,FBgn0030687
727447,FBgn0061200
726158,FBgn0030796
724344,FBgn0261570
410654,FBgn0259231
408272,FBgn0031010
409406,FBgn0031145
725179,FBgn0027279
724769,FBgn0031403
411468,FBgn0085423
412318,FBgn0031535
725758,FBgn0085380
551898,FBgn0031760
412804,FBgn0051638
552330,FBgn0028703
100577397,FBgn0085407
552081,FBgn0031893
102655120,FBgn0004914
107965147,FBgn0032129
724863,FBgn0085212
725850,FBgn0032153
551320,FBgn0032221
412427,FBgn0000146
551799,FBgn0264894
100578277,FBgn0085342
410502,FBgn0053554
408661,FBgn0086655
726781,FBgn0040780
551069,FBgn0085390
725135,FBgn0050381
410673,FBgn0033240
724430,FBgn0033324
410402,FBgn0033362
410424,FBgn0017558
409012,FBgn0259246
100578363,FBgn0261016
411502,FBgn0262169
551071,FBgn0033636
409829,FBgn0033639
551016,FBgn0033661
724176,FBgn0085260
724694,FBgn0050045
408470,FBgn0053156
102656501,FBgn0000289
107963984,FBgn0085472
413466,FBgn0284250
727025,FBgn0262954
727243,FBgn0034128
552185,FBgn0085444
551133,FBgn0085224
409872,FBgn0284257
409872,FBgn0284257
412260,FBgn0262103
551100,FBgn0034433
551100,FBgn0034433
409713,FBgn0263391
408824,FBgn0086604
100576733,FBgn0050295
411958,FBgn0085425
100576948,FBgn0085426
413568,FBgn0264339
727436,FBgn0085242
408830,FBgn0053519
552749,FBgn0085442
410767,FBgn0035101
726709,FBgn0262139
725959,FBgn0035253
413408,FBgn0035290
725776,FBgn0263239
552410,FBgn0035521
413812,FBgn0035533
409078,FBgn0035648
408821,FBgn0053556
100577242,FBgn0262579
727129,FBgn0035845
100576886,FBgn0085491
410970,FBgn0035879
551839,FBgn0052068
410480,FBgn0052082
725754,FBgn0036168
410245,FBgn0036287
726382,FBgn0085457
550977,FBgn0052121
726541,FBgn0005536
100577992,FBgn0263606
726514,FBgn0263131
409799,FBgn0036804
100576872,FBgn0025807
409088,FBgn0085284
408576,FBgn0005564
724143,FBgn0266347
107965828,FBgn0259697
100577364,FBgn0265082
725932,FBgn0026077
412088,FBgn0037487
551094,FBgn0037548
552221,FBgn0037702
408423,FBgn0262477
411674,FBgn0020379
410288,FBgn0037819
725796,FBgn0037842
102653839,FBgn0037841
408467,FBgn0051116
408467,FBgn0051116
100188904,FBgn0259831
408874,FBgn0085412
551717,FBgn0038199
410706,FBgn0285955
411124,FBgn0020299
551572,FBgn0085345
552640,FBgn0038309
725952,FBgn0038510
413757,FBgn0085312
724518,FBgn0026239
408501,FBgn0261984
102654091,FBgn0038814
113219102,FBgn0085405
726949,FBgn0039026
408462,FBgn0265042
726278,FBgn0043005
411364,FBgn0039137
408959,FBgn0266719
552516,FBgn0039273
410396,FBgn0039358
412401,FBgn0066101
412401,FBgn0066101
552367,FBgn0039411
552580,FBgn0010328
552242,FBgn0039655
411414,FBgn0039673
409306,FBgn0039993
412279,FBgn0087011
551256,FBgn0058191
100576439,FBgn0262123
411052,FBgn0058263
411104,FBgn0028993
726291,FBgn0039955
552095,FBgn0010247
408672,FBgn0086378
410495,FBgn0086917
406107,FBgn0027341
410390,FBgn0003559
724806,FBgn0267432
551255,FBgn0039969
725119,FBgn0033075
726244,FBgn0260398
100578680,FBgn0027585
724592,FBgn0259234
408598,FBgn0050021
408598,FBgn0050021
100577019,FBgn0260499
406072,FBgn0263397
406072,FBgn0263397
412391,FBgn0265194
726053,FBgn0034180
726806,FBgn0034266
100576271,FBgn0259682
724973,FBgn0020440
725491,FBgn0259727
409468,FBgn0034903
412815,FBgn0283427
408269,FBgn0265968
410823,FBgn0032593
552129,FBgn0032717
113218781,FBgn0250911
551281,FBgn0259199
725908,FBgn0035842
408688,FBgn0263219
102655352,FBgn0035921
724747,FBgn0266757
726653,FBgn0036173
411196,FBgn0036191
412051,FBgn0260941
724988,FBgn0085271
410320,FBgn0264006
410320,FBgn0264006
725893,FBgn0087007
409847,FBgn0011693
408963,FBgn0261556
413169,FBgn0284421
410027,FBgn0039977
408811,FBgn0037443
408455,FBgn0267337
552563,FBgn0024909
409697,FBgn0014141
408949,FBgn0042693
551996,FBgn0264751
410517,FBgn0051145
410076,FBgn0263398
406096,FBgn0259178
552513,FBgn0016061
725992,FBgn0051036
408852,FBgn0266411
411452,FBgn0085376
100577847,FBgn0052816
411199,FBgn0029663
551673,FBgn0283657
724172,FBgn0266098
410820,FBgn0259150
107965597,FBgn0259204
550706,FBgn0030087
412130,FBgn0085437
413224,FBgn0261244
725551,FBgn0278608
410888,FBgn0259245
550645,FBgn0023215
409277,FBgn0029720
727592,FBgn0029914
726727,FBgn0262740
551458,FBgn0030357
100578450,FBgn0030486
410923,FBgn0003392
100578925,FBgn0028397
408618,FBgn0004598
413208,FBgn0027335
409993,FBgn0020261
412823,FBgn0026430
551614,FBgn0003464
412491,FBgn0024807
409821,FBgn0005666
726761,FBgn0005561
408769,FBgn0026438
102656074,FBgn0053113
102656074,FBgn0053113
724307,FBgn0085396
411068,FBgn0032243
408579,FBgn0032252
552639,FBgn0085190
727159,FBgn0020503
411626,FBgn0015803
409554,FBgn0023388
412082,FBgn0032922
726415,FBgn0267978
413936,FBgn0010482
411219,FBgn0053558
552026,FBgn0033212
552142,FBgn0033313
550930,FBgn0011300
552629,FBgn0010531
409655,FBgn0033504
550695,FBgn0261862
107964998,FBgn0260959
413691,FBgn0259876
107964089,FBgn0033807
409483,FBgn0033846
408779,FBgn0013733
413638,FBgn0023441
408497,FBgn0050122
412885,FBgn0034371
410435,FBgn0263116
724973,FBgn0020440
551494,FBgn0050296
408699,FBgn0266377
724270,FBgn0035023
412256,FBgn0000541
411663,FBgn0035497
551794,FBgn0035528
725353,FBgn0261526
724680,FBgn0264302
726668,FBgn0035917
408503,FBgn0035944
412069,FBgn0035978
413740,FBgn0036125
412840,FBgn0015904
551055,FBgn0036449
100579021,FBgn0260027
551323,FBgn0261341
413410,FBgn0026179
411323,FBgn0087012
726206,FBgn0037429
412176,FBgn0010355
725231,FBgn0260237
726349,FBgn0051352
409805,FBgn0038294
411539,FBgn0262527
408915,FBgn0263995
726302,FBgn0003499
408384,FBgn0263738
726261,FBgn0038608
551702,FBgn0051122
408450,FBgn0024963
408546,FBgn0038890
411347,FBgn0013759
725878,FBgn0264491
413698,FBgn0038980
411463,FBgn0051158
409774,FBgn0039054
411907,FBgn0004882
113218772,FBgn0260229
552546,FBgn0039294
412401,FBgn0066101
725086,FBgn0260224
413669,FBgn0263289
409682,FBgn0029155
551623,FBgn0085383
411301,FBgn0013813
413021,FBgn0003137
727130,FBgn0053203
411611,FBgn0004622
408878,FBgn0051004
412083,FBgn0028968
409836,FBgn0039883
107965322,FBgn0085638
409546,FBgn0260995
411985,FBgn0040022
726316,FBgn0260008
725682,FBgn0260997
406107,FBgn0027341
551261,FBgn0259214
409001,FBgn0025641
413071,FBgn0261549
408917,FBgn0052703
411265,FBgn0030121
409385,FBgn0261931
726280,FBgn0261617
100577959,FBgn0265595
413636,FBgn0053180
409018,FBgn0285944
409018,FBgn0285944
409018,FBgn0285944
409018,FBgn0285944
410895,FBgn0260748
724344,FBgn0261570
724344,FBgn0261570
724598,FBgn0261683
409492,FBgn0264087
551706,FBgn0262029
410686,FBgn0011259
726062,FBgn0040964
412863,FBgn0260749
552529,FBgn0032240
409356,FBgn0262601
410998,FBgn0051721
725512,FBgn0032515
410775,FBgn0261563
410019,FBgn0261671
411219,FBgn0053558
551526,FBgn0033122
410201,FBgn0263593
409184,FBgn0027561
726950,FBgn0033603
408697,FBgn0027596
725936,FBgn0265045
725980,FBgn0265177
410957,FBgn0035260
412504,FBgn0035283
113218950,FBgn0261858
410060,FBgn0262593
552617,FBgn0005640
413024,FBgn0261555
410353,FBgn0264001
410353,FBgn0264001
408706,FBgn0026418
412422,FBgn0037109
725368,FBgn0003882
409422,FBgn0085386
551958,FBgn0037643
410165,FBgn0261552
102655585,FBgn0261680
409501,FBgn0002783
409697,FBgn0014141
552573,FBgn0261550
552818,FBgn0039003
552413,FBgn0053193
413137,FBgn0028697
551746,FBgn0004859
726671,FBgn0085432
409598,FBgn0053978
726972,FBgn0051998
724481,FBgn0039897
551801,FBgn0039904
100577517,FBgn0025726
412617,FBgn0011642
409665,FBgn0250819
410802,FBgn0263112
551733,FBgn0000108
725131,FBgn0259108
411277,FBgn0023531
107964994,FBgn0029587
408529,FBgn0026086
409723,FBgn0003714
409722,FBgn0284408
409053,FBgn0026083
726842,FBgn0000179
551149,FBgn0004687
551883,FBgn0264386
551217,FBgn0062413
551460,FBgn0004198
413314,FBgn0030174
413314,FBgn0030174
726238,FBgn0263220
412607,FBgn0030320
408764,FBgn0263111
411184,FBgn0004169
411556,FBgn0265726
725938,FBgn0026428
410657,FBgn0000028
408616,FBgn0003345
550656,FBgn0005411
726554,FBgn0030778
410933,FBgn0283473
552276,FBgn0051973
113218539,FBgn0031213
726524,FBgn0266557
726524,FBgn0266557
411071,FBgn0031322
409122,FBgn0031359
725192,FBgn0051663
409520,FBgn0031717
551898,FBgn0031760
412528,FBgn0000320
412825,FBgn0031879
410101,FBgn0262872
410101,FBgn0262872
550685,FBgn0044323
727452,FBgn0032005
413817,FBgn0032147
552432,FBgn0032172
413213,FBgn0026147
726273,FBgn0032341
413512,FBgn0261983
408903,FBgn0263354
409320,FBgn0028507
409843,FBgn0264695
413569,FBgn0000464
412191,FBgn0011202
551215,FBgn0041004
408786,FBgn0033159
725732,FBgn0263077
725711,FBgn0003317
410373,FBgn0033250
408680,FBgn0011286
408680,FBgn0011286
408480,FBgn0029092
409012,FBgn0259246
412734,FBgn0033615
113219412,FBgn0033652
411474,FBgn0033766
552795,FBgn0033844
113218570,FBgn0262360
408841,FBgn0261041
408841,FBgn0261041
406072,FBgn0263397
413837,FBgn0267002
406106,FBgn0003091
725273,FBgn0283508
410674,FBgn0003435
413557,FBgn0010415
413785,FBgn0010470
551469,FBgn0034692
726642,FBgn0034728
100577903,FBgn0034742
725361,FBgn0086408
724991,FBgn0034789
100578023,FBgn0053527
727390,FBgn0015801
411653,FBgn0085434
412092,FBgn0265434
412927,FBgn0035171
551498,FBgn0010905
551498,FBgn0010905
408602,FBgn0052296
725388,FBgn0041164
408740,FBgn0052264
413812,FBgn0035533
725263,FBgn0035542
724537,FBgn0260936
412865,FBgn0260660
551973,FBgn0035872
414014,FBgn0263352
102653609,FBgn0003149
409786,FBgn0266084
410728,FBgn0267796
724660,FBgn0016081
102653753,FBgn0261530
113219328,FBgn0052086
552585,FBgn0036179
102656846,FBgn0000404
409274,FBgn0013718
412521,FBgn0036534
100576957,FBgn0262987
552566,FBgn0036623
552414,FBgn0000414
100576134,FBgn0036665
551123,FBgn0260943
724145,FBgn0036817
724618,FBgn0037015
726262,FBgn0024150
410057,FBgn0037060
408372,FBgn0262737
412893,FBgn0262509
726825,FBgn0054031
551971,FBgn0058045
724422,FBgn0002522
102656354,FBgn0040532
725098,FBgn0262614
408423,FBgn0262477
100577783,FBgn0262717
113218605,FBgn0051374
413328,FBgn0037989
552799,FBgn0037992
412859,FBgn0038156
551661,FBgn0038163
726755,FBgn0038201
414015,FBgn0020510
724830,FBgn0263929
411635,FBgn0038295
725422,FBgn0003507
409359,FBgn0027948
409359,FBgn0027948
411264,FBgn0003513
551490,FBgn0259244
410001,FBgn0053547
102655639,FBgn0038629
727278,FBgn0038651
413385,FBgn0004876
100578885,FBgn0262582
413382,FBgn0051163
726548,FBgn0020278
410514,FBgn0266418
725248,FBgn0015513
410021,FBgn0085384
724303,FBgn0039132
413998,FBgn0039492
408967,FBgn0028646
409024,FBgn0082582
552709,FBgn0011224
725588,FBgn0259216
410259,FBgn0042696
411575,FBgn0039908
726399,FBgn0022361
410133,FBgn0024728
727230,FBgn0052016
410761,FBgn0039932
102654776,FBgn0019650
551766,FBgn0010217
413977,FBgn0039928
724417,FBgn0264449
724417,FBgn0264449
411262,FBgn0040344
552341,FBgn0024362
410142,FBgn0024985
726952,FBgn0023511
410925,FBgn0264562
552309,FBgn0003048
409703,FBgn0264598
408976,FBgn0003371
724212,FBgn0029666
409903,FBgn0260658
410882,FBgn0263772
409849,FBgn0000635
410317,FBgn0029761
552101,FBgn0029835
409856,FBgn0259228
409606,FBgn0263993
412002,FBgn0260970
551826,FBgn0004656
409904,FBgn0261873
552481,FBgn0040929
410684,FBgn0004102
552005,FBgn0030065
412799,FBgn0011661
726280,FBgn0261617
409242,FBgn0261710
727000,FBgn0085443
552595,FBgn0030218
727150,FBgn0263072
413784,FBgn0030230
726727,FBgn0262740
100576384,FBgn0004370
408761,FBgn0014133
551405,FBgn0030348
409876,FBgn0030400
552742,FBgn0004456
408331,FBgn0041210
408354,FBgn0030505
726243,FBgn0264078
100820634,FBgn0000535
409137,FBgn0030613
411888,FBgn0030617
551663,FBgn0259110
552303,FBgn0285954
552167,FBgn0030738
726746,FBgn0030743
409313,FBgn0011742
100577669,FBgn0030798
413677,FBgn0263706
100578709,FBgn0030847
411744,FBgn0250788
552761,FBgn0053639
725485,FBgn0259927
409038,FBgn0031042
410534,FBgn0259162
410134,FBgn0031150
726941,FBgn0031170
107963982,FBgn0015558
551787,FBgn0024251
409863,FBgn0039966
410449,FBgn0031257
412093,FBgn0053526
726636,FBgn0086698
100577696,FBgn0031375
726045,FBgn0031384
726433,FBgn0031414
100577139,FBgn0041111
412284,FBgn0025681
409301,FBgn0011648
412934,FBgn0003386
724962,FBgn0263846
551170,FBgn0053196
412949,FBgn0031634
409396,FBgn0031637
412933,FBgn0015000
408624,FBgn0083962
551356,FBgn0261836
551898,FBgn0031760
551308,FBgn0051635
409902,FBgn0046704
410237,FBgn0031857
727087,FBgn0028554
724706,FBgn0031869
552383,FBgn0031897
409792,FBgn0259111
100576425,FBgn0263256
408427,FBgn0264953
107963991,FBgn0031995
551924,FBgn0032010
724251,FBgn0032013
107964343,FBgn0085470
726378,FBgn0250903
551010,FBgn0032151
410154,FBgn0265002
726232,FBgn0067622
410178,FBgn0032363
409780,FBgn0000114
410108,FBgn0262160
413930,FBgn0032470
100578537,FBgn0032499
100577335,FBgn0264308
412598,FBgn0028527
410037,FBgn0032586
725792,FBgn0045852
412143,FBgn0032796
100576555,FBgn0032810
411366,FBgn0263355
412624,FBgn0032873
408359,FBgn0250785
413791,FBgn0032901
413791,FBgn0032901
408306,FBgn0040297
726993,FBgn0086779
412449,FBgn0040010
551708,FBgn0002566
410906,FBgn0000384
412273,FBgn0250907
725572,FBgn0262116
725383,FBgn0040007
412789,FBgn0250830
413091,FBgn0033062
552026,FBgn0033212
406150,FBgn0050361
100576428,FBgn0033405
409383,FBgn0033438
550989,FBgn0033474
100577254,FBgn0033494
413159,FBgn0261698
413159,FBgn0261698
411121,FBgn0033607
552149,FBgn0015872
551071,FBgn0033636
409829,FBgn0033639
552195,FBgn0261611
409851,FBgn0027356
552163,FBgn0061359
100578226,FBgn0033782
726918,FBgn0053182
409887,FBgn0011763
408517,FBgn0260964
551254,FBgn0027581
412008,FBgn0020767
100577367,FBgn0033998
408960,FBgn0264089
412115,FBgn0034110
550732,FBgn0024232
550732,FBgn0024232
413837,FBgn0267002
410758,FBgn0265487
410758,FBgn0265487
408631,FBgn0263197
408631,FBgn0263197
102653956,FBgn0250851
412524,FBgn0041585
100577676,FBgn0034314
409729,FBgn0285917
408906,FBgn0034389
100578123,FBgn0034462
409704,FBgn0015949
409283,FBgn0034598
409658,FBgn0003175
410171,FBgn0028371
408865,FBgn0259145
409178,FBgn0034792
726335,FBgn0005636
100576882,FBgn0053988
408342,FBgn0024806
409108,FBgn0264707
412357,FBgn0052343
724760,FBgn0035132
113218746,FBgn0035166
726488,FBgn0052479
409933,FBgn0264574
409933,FBgn0264574
725189,FBgn0004870
102654169,FBgn0011361
725599,FBgn0043458
100576879,FBgn0035227
408465,FBgn0013342
552578,FBgn0035267
551291,FBgn0250789
725452,FBgn0027547
551259,FBgn0086906
410756,FBgn0264606
551984,FBgn0035388
726582,FBgn0026189
414017,FBgn0283724
552634,FBgn0035432
413332,FBgn0004167
408685,FBgn0264693
408685,FBgn0264693
550671,FBgn0035501
552530,FBgn0259986
727311,FBgn0260657
411248,FBgn0262870
725068,FBgn0261797
409893,FBgn0052423
410662,FBgn0085420
551948,FBgn0035639
408910,FBgn0035677
551486,FBgn0035688
107963990,FBgn0261934
727141,FBgn0035715
100577638,FBgn0035719
113219319,FBgn0264303
408889,FBgn0035793
413680,FBgn0028582
408449,FBgn0016694
408449,FBgn0016694
413073,FBgn0024187
413073,FBgn0024187
410116,FBgn0027549
552724,FBgn0035844
552201,FBgn0035850
107964828,FBgn0250833
551272,FBgn0260442
100577498,FBgn0262508
727277,FBgn0017429
724294,FBgn0264305
408749,FBgn0035953
726014,FBgn0035959
406124,FBgn0004244
411220,FBgn0264000
724193,FBgn0004379
726833,FBgn0035995
551448,FBgn0036030
412000,FBgn0036031
408717,FBgn0045823
726121,FBgn0036044
412003,FBgn0004390
413759,FBgn0085385
409000,FBgn0040823
727170,FBgn0000451
410951,FBgn0052062
552094,FBgn0010762
551340,FBgn0036134
412174,FBgn0036195
412976,FBgn0011723
551838,FBgn0036257
411477,FBgn0020655
724498,FBgn0036288
410015,FBgn0041775
413821,FBgn0262714
410012,FBgn0036318
409073,FBgn0036319
102655706,FBgn0010452
411597,FBgn0029167
409674,FBgn0036391
552792,FBgn0036414
551124,FBgn0001085
410261,FBgn0259099
409243,FBgn0086690
551818,FBgn0040805
411577,FBgn0087035
552785,FBgn0264908
552785,FBgn0264908
413633,FBgn0036544
411148,FBgn0259824
551890,FBgn0028399
412817,FBgn0042177
409127,FBgn0000017
413372,FBgn0036663
551123,FBgn0260943
724877,FBgn0036741
411548,FBgn0036801
724997,FBgn0002945
100576247,FBgn0016797
412301,FBgn0036875
409735,FBgn0010417
412296,FBgn0013799
724929,FBgn0003744
725555,FBgn0036974
413034,FBgn0036980
410330,FBgn0037010
724460,FBgn0052432
410159,FBgn0003415
726262,FBgn0024150
408741,FBgn0086913
410950,FBgn0037074
410844,FBgn0037092
725503,FBgn0037098
410893,FBgn0261953
410893,FBgn0261953
551188,FBgn0264711
408729,FBgn0052447
725047,FBgn0037137
724965,FBgn0004179
410739,FBgn0004449
409617,FBgn0037182
410222,FBgn0027339
410222,FBgn0027339
412893,FBgn0262509
409638,FBgn0051522
409749,FBgn0037262
410161,FBgn0259212
413966,FBgn0040208
409346,FBgn0261261
725754,FBgn0004878
409045,FBgn0261641
724622,FBgn0037445
100576215,FBgn0037475
409435,FBgn0086372
409435,FBgn0086372
552243,FBgn0037525
552381,FBgn0037533
725477,FBgn0037536
412157,FBgn0037541
412157,FBgn0037541
408276,FBgn0263231
551553,FBgn0051100
411582,FBgn0000723
552382,FBgn0011740
408822,FBgn0037698
726765,FBgn0037712
408275,FBgn0037720
724885,FBgn0267336
411764,FBgn0040238
409952,FBgn0262617
551809,FBgn0037926
727520,FBgn0037942
726699,FBgn0038073
409158,FBgn0020496
406104,FBgn0000024
411036,FBgn0038165
414015,FBgn0020510
410630,FBgn0038237
412471,FBgn0003169
413627,FBgn0038257
725350,FBgn0003117
551490,FBgn0259244
411344,FBgn0285925
409697,FBgn0014141
409697,FBgn0014141
411122,FBgn0025571
100576413,FBgn0038532
408949,FBgn0042693
411080,FBgn0260399
409251,FBgn0038686
102654626,FBgn0023097
113219396,FBgn0038816
408775,FBgn0038826
408775,FBgn0038826
102653965,FBgn0026056
408541,FBgn0038872
727294,FBgn0067317
411069,FBgn0038948
408462,FBgn0265042
725081,FBgn0262975
725267,FBgn0039065
412916,FBgn0003118
409708,FBgn0051414
413994,FBgn0003429
413994,FBgn0003429
413919,FBgn0027539
552178,FBgn0039234
411255,FBgn0039265
408959,FBgn0266719
100578236,FBgn0011666
552370,FBgn0015269
724275,FBgn0051324
726758,FBgn0039479
409680,FBgn0039530
726032,FBgn0039536
100578879,FBgn0045862
102655244,FBgn0039559
725928,FBgn0264324
725928,FBgn0264324
409107,FBgn0039633
412133,FBgn0005596
409699,FBgn0028692
552608,FBgn0039647
406070,FBgn0266137
411757,FBgn0039690
552703,FBgn0039710
409486,FBgn0039730
411420,FBgn0039747
408967,FBgn0028646
409024,FBgn0082582
552273,FBgn0039790
552096,FBgn0051019
411864,FBgn0267435
411772,FBgn0039844
413384,FBgn0039862
409762,FBgn0020908
412118,FBgn0058178
102654012,FBgn0063670
724835,FBgn0259821
409255,FBgn0025836
410975,FBgn0284435
551168,FBgn0021764
551168,FBgn0021764
412818,FBgn0053513
100576374,FBgn0023513
412666,FBgn0023517
726471,FBgn0053548
411675,FBgn0023524
725069,FBgn0028491
409849,FBgn0000635
413503,FBgn0260971
724172,FBgn0266098
100577363,FBgn0261803
552642,FBgn0284442
410317,FBgn0029761
102654165,FBgn0262730
724178,FBgn0250869
725465,FBgn0028360
552805,FBgn0003390
552550,FBgn0026206
409925,FBgn0010269
410398,FBgn0285926
100577905,FBgn0264502
410066,FBgn0001145
107964213,FBgn0011754
413810,FBgn0030407
410689,FBgn0086675
409307,FBgn0250862
409943,FBgn0283680
411019,FBgn0265416
409764,FBgn0030508
409865,FBgn0003218
413224,FBgn0261244
409444,FBgn0052626
410745,FBgn0266435
412750,FBgn0004924
551663,FBgn0259110
409510,FBgn0030742
726554,FBgn0030778
413134,FBgn0027556
412594,FBgn0026313
727263,FBgn0030854
724344,FBgn0261570
408666,FBgn0030964
552765,FBgn0030974
551688,FBgn0030992
413223,FBgn0031006
726538,FBgn0052532
551301,FBgn0031039
102655617,FBgn0066304
726521,FBgn0066303
413409,FBgn0003654
410829,FBgn0083956
408417,FBgn0029067
410888,FBgn0259245
408964,FBgn0031187
413428,FBgn0016975
552586,FBgn0039965
410985,FBgn0031495
724961,FBgn0024244
724120,FBgn0085369
494503,FBgn0031692
411507,FBgn0031730
411507,FBgn0031730
411995,FBgn0031952
409743,FBgn0031985
408607,FBgn0031990
100578507,FBgn0032077
410916,FBgn0011584
410922,FBgn0041781
551803,FBgn0261648
411340,FBgn0032405
411345,FBgn0051814
408536,FBgn0032536
411116,FBgn0259213
551454,FBgn0028863
410019,FBgn0261671
726866,FBgn0032694
413873,FBgn0032723
552731,FBgn0015772
100578947,FBgn0051678
100578218,FBgn0263051
410696,FBgn0051619
413197,FBgn0260798
412789,FBgn0250830
725871,FBgn0033000
725761,FBgn0260991
100577885,FBgn0033265
100576506,FBgn0260390
408435,FBgn0261588
552325,FBgn0005695
551174,FBgn0003612
411060,FBgn0015477
725923,FBgn0020621
107965237,FBgn0083977
411919,FBgn0004360
408568,FBgn0283510
550989,FBgn0033474
408598,FBgn0050021
410685,FBgn0004839
102654567,FBgn0033677
411490,FBgn0045063
409049,FBgn0022764
408991,FBgn0261625
100577128,FBgn0085265
413299,FBgn0033886
726461,FBgn0040752
408897,FBgn0085408
409322,FBgn0264962
726770,FBgn0033987
412391,FBgn0265194
409226,FBgn0034068
726453,FBgn0034081
408451,FBgn0085428
102656656,FBgn0034137
726196,FBgn0085220
102655219,FBgn0265174
408669,FBgn0034184
100576321,FBgn0034240
726766,FBgn0034246
726284,FBgn0028743
412260,FBgn0262103
727235,FBgn0000578
727232,FBgn0034420
413334,FBgn0263395
413334,FBgn0263395
409713,FBgn0263391
102655466,FBgn0034446
408439,FBgn0034528
409195,FBgn0034543
724282,FBgn0015524
552421,FBgn0265191
413341,FBgn0020306
