#SUBMITTED ID	INSECTA_ORTHOLOGS
FBgn0005640	Aflo\2963320724 <newline> Amel\GB44292 <newline> Apim\ACYPI004749 <newline> Bimp\BIMP14680 <newline> Bmor\BGIBMGA011854 <newline> Bter\15209785 <newline> Clec\CLEC004419 <newline> Dple\DPOGS201944-PA <newline> Dpod\YQE_09865 <newline> Hmel\HMEL002219 <newline> Lhum\LH10792 <newline> Mrot\MROTU:000d9b <newline> Nvit\Nasvi2EG024622 <newline> Phum\PHUM321170 <newline> Rpro\RPRC002851 <newline> Tcas\TC002523 <newline> Znev\Znev_12838
FBgn0010355	Aflo\3430962676 <newline> Amel\GB44341 <newline> Apim\ACYPI56611 <newline> Bimp\BIMP19543 <newline> Bmor\BGIBMGA007052 <newline> Bter\15209928 <newline> Clec\CLEC000253 <newline> Dple\DPOGS200534-PA <newline> Dpod\YQE_05148 <newline> Hmel\HMEL009373 <newline> Lhum\LH23087 <newline> Mrot\MROTU:000d9a <newline> Nvit\Nasvi2EG013825 <newline> Phum\PHUM537430 <newline> Rpro\RPRC001858 <newline> Tcas\TC002507 <newline> Znev\Znev_01981
FBgn0012058	Aflo\2814442212 <newline> Amel\GB48434 <newline> Apim\ACYPI008431 <newline> Bimp\BIMP21119 <newline> Bmor\BGIBMGA011827 <newline> Bter\15213811 <newline> Clec\CLEC007502 <newline> Dple\DPOGS213547-PA <newline> Dpod\YQE_08275 <newline> Hmel\HMEL017908 <newline> Lhum\LH19557 <newline> Mrot\MROTU:002d3e <newline> Nvit\Nasvi2EG000418 <newline> Phum\PHUM280670 <newline> Rpro\RPRC010249 <newline> Tcas\TC000032 <newline> Znev\Znev_04126
FBgn0013995	Aflo\3425745620 <newline> Amel\GB48665 <newline> Bimp\BIMP13582 <newline> Bmor\BGIBMGA004794 <newline> Bmor\BGIBMGA004795 <newline> Bter\15216464 <newline> Clec\CLEC006796 <newline> Clec\CLEC006797 <newline> Dple\DPOGS204019-PA <newline> Dpod\YQE_05405 <newline> Dpod\YQE_05404 <newline> Hmel\HMEL004209 <newline> Hmel\HMEL010640 <newline> Lhum\LH16176 <newline> Lhum\LH16167 <newline> Mrot\MROTU:0026e8 <newline> Nvit\Nasvi2EG012329 <newline> Phum\PHUM098930 <newline> Phum\PHUM409550 <newline> Rpro\RPRC008618 <newline> Tcas\TC009330 <newline> Znev\Znev_14613
FBgn0024909	Aflo\4625275348 <newline> Amel\Taf7 <newline> Apim\ACYPI003357 <newline> Apim\ACYPI006228 <newline> Bimp\BIMP13147 <newline> Bmor\BGIBMGA000646 <newline> Bter\15207642 <newline> Clec\CLEC008638 <newline> Dple\DPOGS208479-PA <newline> Dple\DPOGS206783-PA <newline> Dpod\YQE_02925 <newline> Hmel\HMEL013424 <newline> Hmel\HMEL002188 <newline> Lhum\LH24317 <newline> Mrot\MROTU:00213d <newline> Nvit\Nasvi2EG003393 <newline> Phum\PHUM360470 <newline> Rpro\RPRC006398 <newline> Tcas\TC003817 <newline> Znev\Znev_00501
FBgn0024994	Aflo\3742386468 <newline> Amel\Csat <newline> Apim\ACYPI008852 <newline> Bimp\BIMP22613 <newline> Bmor\BGIBMGA001220 <newline> Bter\15208489 <newline> Clec\CLEC006884 <newline> Dple\DPOGS211845-PA <newline> Dpod\YQE_09493 <newline> Hmel\HMEL018048 <newline> Lhum\LH18820 <newline> Mrot\MROTU:0022ed <newline> Nvit\Nasvi2EG012494 <newline> Phum\PHUM176920 <newline> Rpro\RPRC007121 <newline> Tcas\TC000767 <newline> Znev\Znev_18078
FBgn0025740	Aflo\2365730132 <newline> Amel\GB46270 <newline> Apim\ACYPI009316 <newline> Bimp\BIMP23766 <newline> Bmor\BGIBMGA005985 <newline> Bter\15205772 <newline> Clec\CLEC004892 <newline> Dple\DPOGS214266-PA <newline> Dpod\YQE_09068 <newline> Hmel\HMEL011388 <newline> Lhum\LH25072 <newline> Mrot\MROTU:0014b7 <newline> Nvit\Nasvi2EG004799 <newline> Phum\PHUM051940 <newline> Rpro\RPRC008224 <newline> Tcas\PlexB <newline> Znev\Znev_06383
FBgn0025885	Aflo\3004213908 <newline> Amel\Inos <newline> Apim\ACYPI006105 <newline> Bimp\BIMP13791 <newline> Bmor\BGIBMGA007441 <newline> Bter\15201871 <newline> Clec\CLEC011607 <newline> Dple\DPOGS209523-PA <newline> Dpod\YQE_12767 <newline> Hmel\HMEL016262 <newline> Lhum\LH19318 <newline> Lhum\LH16022 <newline> Mrot\MROTU:002560 <newline> Nvit\Nasvi2EG014821 <newline> Phum\PHUM472520 <newline> Rpro\RPRC011992 <newline> Tcas\Inos <newline> Znev\Znev_00685
FBgn0028982	Aflo\2228501844 <newline> Aflo\2727404820 <newline> Amel\GB45135 <newline> Amel\GB43099 <newline> Apim\ACYPI004626 <newline> Bimp\BIMP22838 <newline> Bimp\BIMP15037 <newline> Bmor\BGIBMGA005523 <newline> Bter\15212376 <newline> Bter\15210485 <newline> Clec\CLEC008961 <newline> Dple\DPOGS207841-PA <newline> Dpod\YQE_05581 <newline> Hmel\HMEL015312 <newline> Lhum\LH11500 <newline> Mrot\MROTU:0028ac <newline> Mrot\MROTU:0000ad <newline> Nvit\Nasvi2EG010168 <newline> Nvit\Nasvi2EG010169 <newline> Nvit\Nasvi2EG007609 <newline> Phum\PHUM116720 <newline> Rpro\RPRC007482 <newline> Rpro\RPRC007452 <newline> Rpro\RPRC007458 <newline> Tcas\TC005584 <newline> Znev\Znev_11725
FBgn0028992	Aflo\2159263138 <newline> Amel\GB45367 <newline> Apim\ACYPI007814 <newline> Bimp\BIMP24575 <newline> Bmor\BGIBMGA007437 <newline> Bter\15212039 <newline> Clec\CLEC000892 <newline> Dple\DPOGS209484-PA <newline> Dpod\YQE_06995 <newline> Hmel\HMEL016263 <newline> Mrot\MROTU:000793 <newline> Nvit\Nasvi2EG008035 <newline> Phum\PHUM459070 <newline> Rpro\RPRC013619 <newline> Rpro\RPRC013618 <newline> Tcas\TC006409 <newline> Znev\Znev_13782
FBgn0030558	Aflo\2147733619 <newline> Aflo\2163607778 <newline> Amel\LOC551404 <newline> Amel\GB45969 <newline> Apim\ACYPI064482 <newline> Bimp\BIMP10224 <newline> Bmor\BGIBMGA002986 <newline> Bter\15213010 <newline> Clec\CLEC005591 <newline> Dple\DPOGS211111-PA <newline> Dpod\YQE_06193 <newline> Dpod\YQE_00008 <newline> Hmel\HMEL012441 <newline> Lhum\LH20348 <newline> Mrot\MROTU:002fa2 <newline> Nvit\Nasvi2EG002593 <newline> Phum\PHUM509510 <newline> Rpro\TAT <newline> Tcas\TC013185 <newline> Znev\Znev_04798
FBgn0031885	Aflo\2627811316 <newline> Amel\LOC410989 <newline> Apim\ACYPI001212 <newline> Bimp\BIMP21363 <newline> Bmor\BGIBMGA010655 <newline> Bter\15215798 <newline> Clec\CLEC006376 <newline> Dple\DPOGS208567-PA <newline> Dpod\YQE_12262 <newline> Hmel\HMEL004301 <newline> Lhum\LH23617 <newline> Mrot\MROTU:002189 <newline> Nvit\Nasvi2EG003205 <newline> Phum\PHUM350950 <newline> Rpro\RPRC009423 <newline> Tcas\GLEAN_07870 <newline> Znev\Znev_01890 <newline> Znev\Znev_16270
FBgn0031973	Aflo\2164632420 <newline> Amel\GB54541 <newline> Apim\ACYPI001790 <newline> Bimp\BIMP11042 <newline> Bmor\BGIBMGA004955 <newline> Bter\15204963 <newline> Clec\CLEC000457 <newline> Dple\DPOGS208498-PA <newline> Dpod\YQE_03007 <newline> Hmel\HMEL008758 <newline> Lhum\LH24352 <newline> Mrot\MROTU:00233e <newline> Nvit\Nasvi2EG001417 <newline> Phum\PHUM432060 <newline> Rpro\RPRC004932 <newline> Tcas\serpin26 <newline> Znev\Znev_06875
FBgn0031990	Aflo\3154166916 <newline> Amel\GB53979 <newline> Apim\ACYPI006464 <newline> Apim\ACYPI083172 <newline> Bimp\BIMP25252 <newline> Bmor\BGIBMGA001646 <newline> Bter\15205357 <newline> Clec\CLEC010954 <newline> Dple\DPOGS210647-PA <newline> Dpod\YQE_03275 <newline> Hmel\HMEL010794 <newline> Lhum\LH22696 <newline> Mrot\MROTU:00108d <newline> Nvit\Nasvi2EG005732 <newline> Phum\PHUM513230 <newline> Rpro\RPRC000465 <newline> Tcas\TC030879 <newline> Znev\Znev_09496
FBgn0032388	Aflo\2310162996 <newline> Amel\LOC409347 <newline> Apim\ACYPI003445 <newline> Bimp\BIMP13165 <newline> Bmor\BGIBMGA005838 <newline> Bter\15207604 <newline> Clec\CLEC011106 <newline> Clec\CLEC011107 <newline> Dple\DPOGS209458-PA <newline> Dpod\YQE_07564 <newline> Hmel\HMEL002597 <newline> Lhum\LH14823 <newline> Mrot\MROTU:002158 <newline> Nvit\Nasvi2EG000346 <newline> Nvit\Nasvi2EG000322 <newline> Phum\PHUM534220 <newline> Rpro\RPRC010555 <newline> Tcas\TC012727 <newline> Znev\Znev_17150
FBgn0032421	Aflo\3666887812 <newline> Amel\GB56036 <newline> Apim\ACYPI005163 <newline> Bimp\BIMP11978 <newline> Bmor\BGIBMGA009034 <newline> Bter\15213549 <newline> Clec\CLEC002391 <newline> Dple\DPOGS208428-PA <newline> Dpod\YQE_12720 <newline> Hmel\HMEL007207 <newline> Lhum\LH22305 <newline> Mrot\MROTU:0024bd <newline> Nvit\Nasvi2EG011388 <newline> Nvit\Nasvi2EG011387 <newline> Phum\PHUM471780 <newline> Rpro\RPRC010737 <newline> Tcas\TC006599 <newline> Znev\Znev_00641
FBgn0032781	Aflo\2261015828 <newline> Amel\LOC409653 <newline> Apim\ACYPI080022 <newline> Apim\ACYPI001460 <newline> Bimp\BIMP11222 <newline> Bmor\BGIBMGA006828 <newline> Bter\15215385 <newline> Clec\CLEC001735 <newline> Dple\DPOGS206102-PA <newline> Dpod\YQE_12813 <newline> Hmel\HMEL005775 <newline> Lhum\LH24822 <newline> Mrot\MROTU:002317 <newline> Nvit\Nasvi2EG003904 <newline> Phum\PHUM545510 <newline> Rpro\RPRC011909 <newline> Tcas\TC010635 <newline> Znev\Znev_07519
FBgn0033367	Aflo\3016804452 <newline> Amel\PPO <newline> Apim\ACYPI004484 <newline> Apim\ACYPI072244 <newline> Bimp\BIMP19728 <newline> Bmor\BGIBMGA012763 <newline> Bmor\BGIBMGA012764 <newline> Bmor\BGIBMGA013115 <newline> Bter\15203907 <newline> Clec\CLEC001348 <newline> Clec\CLEC001347 <newline> Clec\CLEC001137 <newline> Dple\DPOGS201819-PA <newline> Dple\DPOGS206820-PA <newline> Dple\DPOGS201818-PA <newline> Dple\DPOGS200017-PA <newline> Dpod\YQE_03214 <newline> Hmel\PPO-E <newline> Hmel\PPO-C <newline> Hmel\HMEL011253 <newline> Hmel\PPO-A <newline> Hmel\PPO-D <newline> Lhum\LH14237 <newline> Mrot\MROTU:0025e4 <newline> Nvit\Nasvi2EG014407 <newline> Nvit\Nasvi2EG014408 <newline> Nvit\Nasvi2EG005509 <newline> Phum\PHUM448900 <newline> Rpro\RPRC008282 <newline> Rpro\RPRC012380 <newline> Rpro\RPRC008242 <newline> Rpro\RPRC012519 <newline> Tcas\TC000325 <newline> Tcas\TC033469 <newline> Znev\Znev_05598
